Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 1 million population,Cases - newly reported in last 7 days,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 1 million population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 24 hours,Transmission Classification
Global,,96658420,12382.087287776209,4324330,615341,2092062,267.99625211584953,95562,15702,
United States of America,Americas,24413331,73755.7,1315393,188176,406782,1228.94,21369,3979,Community transmission
India,South-East Asia,10639684,7709.89,96843,14256,153184,111,1091,152,Clusters of cases
Brazil,Americas,8697368,40917.35,373074,59119,214147,1007.47,7052,1316,Community transmission
Russian Federation,Europe,3677352,25198.65,156821,21513,68412,468.79,3917,580,Clusters of cases
The United Kingdom,Europe,3543650,52200,283388,37892,94580,1393.22,8565,1290,Community transmission
France,Europe,2939128,45027.88,134348,22551,71607,1097.03,2679,346,Community transmission
Spain,Europe,2456675,52543.83,181396,17423,55041,1177.23,1250,80,Community transmission
Italy,Europe,2428221,40161.23,91942,14055,84202,1392.65,3354,521,Clusters of cases
Germany,Europe,2106262,25139.21,105304,17862,50642,604.44,5648,859,Community transmission
Colombia,Americas,1972345,38762.44,123244,15366,50187,986.32,2696,395,Community transmission
Argentina,Americas,1843077,40779.85,72362,11396,46355,1025.65,1230,139,Community transmission
Mexico,Americas,1711283,13272.68,122914,22339,146174,1133.72,8258,1803,Community transmission
Turkey,Europe,1591878,18874.74,41415,0,24487,290.34,992,0,Community transmission
Poland,Europe,1464448,38694.3,42128,6693,34908,922.35,2064,347,Community transmission
South Africa,Africa,1380807,23281.7,84001,11381,39501,666.02,3649,647,Community transmission
Iran (Islamic Republic of),Eastern Mediterranean,1360825,16201.66,42530,6305,57225,681.31,604,75,Community transmission
Ukraine,Europe,1182969,27049.33,36006,5348,21662,495.32,1120,163,Community transmission
Peru,Americas,1082907,32843.38,34245,4232,39274,1191.14,710,117,Community transmission
Indonesia,South-East Asia,965283,3529.07,82865,13632,27453,100.37,1969,250,Community transmission
Netherlands,Europe,932884,54443.59,37516,5857,13337,778.35,577,91,Community transmission
Czechia,Europe,924847,86361.81,50242,7488,15130,1412.83,1101,157,Community transmission
Canada,Americas,731450,19380.19,42559,5955,18622,493.4,1084,160,Community transmission
Romania,Europe,703776,36583.18,18859,2878,17554,912.48,519,69,Community transmission
Chile,Americas,690066,36098.49,28886,4959,17786,930.41,417,84,Community transmission
Belgium,Europe,686827,59262.24,10566,1,20620,1779.18,287,4,Community transmission
Iraq,Eastern Mediterranean,612092,15217.65,5101,685,12984,322.8,52,7,Community transmission
Portugal,Europe,595149,58366.77,77343,13544,9686,949.91,1302,221,Clusters of cases
Israel,Europe,569152,65755.84,47213,0,4158,480.39,313,0,Community transmission
Sweden,Europe,542952,53761.54,24189,4946,10921,1081.37,134,4,Community transmission
Bangladesh,South-East Asia,530890,3223.58,4405,619,7981,48.46,119,15,Community transmission
Pakistan,Eastern Mediterranean,528891,2394.34,14553,1745,11204,50.72,341,47,Community transmission
Philippines,Western Pacific,509887,4653.06,13241,2170,10136,92.5,260,20,Community transmission
Switzerland,Europe,504630,58307.57,14237,2192,8238,951.86,374,47,Community transmission
Morocco,Eastern Mediterranean,464844,12593.79,7219,1138,8105,219.58,217,29,Clusters of cases
Austria,Europe,396857,44063.9,10334,1779,7222,801.87,342,57,Community transmission
Serbia,Europe,379093,54437.94,11021,1648,3830,549.99,143,20,Community transmission
Saudi Arabia,Eastern Mediterranean,365988,10512.71,1375,213,6346,182.28,33,4,Sporadic cases
Hungary,Europe,356973,36952.38,7824,1311,11811,1222.63,634,98,Community transmission
Japan,Western Pacific,356074,2815.34,40164,5054,4935,39.02,555,105,Clusters of cases
Jordan,Eastern Mediterranean,318911,31256.18,6060,730,4207,412.32,86,9,Community transmission
Panama,Americas,305752,70861.76,14467,1975,4944,1145.83,293,32,Community transmission
Lebanon,Eastern Mediterranean,272411,39911.1,29125,3170,2218,324.96,393,67,Community transmission
United Arab Emirates,Eastern Mediterranean,270810,27381.09,24434,3552,776,78.46,43,10,Community transmission
Nepal,South-East Asia,268948,9230.52,2132,302,1986,68.16,38,7,Clusters of cases
Georgia,Europe,251974,63164.57,6185,903,3022,757.55,129,24,Community transmission
Ecuador,Americas,237158,13442,10292,969,14562,825.37,289,36,Community transmission
Slovakia,Europe,233027,42681.74,12320,1785,3894,713.23,532,93,Clusters of cases
Belarus,Europe,232298,24583.56,12635,1804,1619,171.34,65,9,Community transmission
Azerbaijan,Europe,228246,22511.29,2046,218,3053,301.11,82,9,Clusters of cases
Croatia,Europe,227969,55530.86,4157,643,4770,1161.92,220,32,Community transmission
Kazakhstan,Europe,219527,11691.45,5672,0,2956,157.43,71,0,Clusters of cases
Bulgaria,Europe,213864,30778.69,2913,455,8741,1257.98,345,90,Clusters of cases
Dominican Republic,Americas,201145,18542.28,12176,1473,2496,230.09,64,14,Community transmission
Bolivia (Plurinational State of),Americas,196393,16824.52,15377,2648,9818,841.08,288,54,Community transmission
Tunisia,Eastern Mediterranean,193273,16353.26,18208,2389,6092,515.46,564,103,Community transmission
Denmark,Europe,192265,33193.77,5604,760,1909,329.58,206,37,Community transmission
Costa Rica,Americas,188477,36998.95,5235,765,2506,491.94,105,14,Community transmission
Ireland,Europe,181922,36842.83,18865,2598,2818,570.7,330,50,Community transmission
Malaysia,Western Pacific,176180,5443.37,25114,3631,660,20.39,74,18,Clusters of cases
Lithuania,Europe,174846,64227.57,9286,1027,2591,951.77,215,37,Community transmission
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,173964,34101.13,3754,494,1937,379.7,89,12,Community transmission
Armenia,Europe,165711,55922.18,1739,183,3030,1022.53,56,9,Community transmission
Egypt,Eastern Mediterranean,160463,1568.03,5843,748,8853,86.51,380,52,Clusters of cases
Kuwait,Eastern Mediterranean,160367,37551.65,3403,533,952,222.92,5,1,Community transmission
Republic of Moldova,Europe,154788,38371.2,3101,670,3315,821.77,104,16,Community transmission
Slovenia,Europe,154306,74223.47,8828,1455,3494,1680.67,258,52,Clusters of cases
Guatemala,Americas,152956,8537.6,5396,561,5420,302.53,243,31,Community transmission
Greece,Europe,150479,14437.13,3196,506,5570,534.39,183,25,Community transmission
Qatar,Eastern Mediterranean,148521,51550.94,1636,263,248,86.08,2,0,Community transmission
Honduras,Americas,138044,13937.35,6081,1146,3422,345.5,87,16,Community transmission
Myanmar,South-East Asia,136591,2510.41,3213,425,3031,55.71,105,18,Clusters of cases
Oman,Eastern Mediterranean,132486,25943.94,1222,0,1517,297.07,8,0,Community transmission
Ethiopia,Africa,132326,1151.03,2404,292,2057,17.89,49,13,Community transmission
Paraguay,Americas,125518,17597.94,5878,1071,2570,360.32,103,13,Community transmission
Venezuela (Bolivarian Republic of),Americas,122260,4299.49,3845,569,1129,39.7,39,7,Community transmission
Bosnia and Herzegovina,Europe,119206,36334.22,2195,489,4536,1382.58,125,15,Community transmission
Nigeria,Africa,116653,565.89,11175,1962,1485,7.2,80,7,Community transmission
Libya,Eastern Mediterranean,112540,16378.29,4523,794,1737,252.79,86,21,Community transmission
Algeria,Africa,104852,2391.09,1992,246,2854,65.08,35,0,Community transmission
China,Western Pacific,99767,67.81,1308,178,4810,3.27,7,1,Clusters of cases
Kenya,Africa,99630,1852.85,937,186,1739,32.34,16,3,Community transmission
