Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours,Transmission Classification
Global,,141057106,1806.9624964416976,5283027,67.67636120855109,724720,3015043,38.623149025608576,82424,1.055863692586396,10955,
United States of America,Americas,31311941,9459.73,471530,142.46,61306,561616,169.67,5091,1.54,758,Community transmission
India,South-East Asia,15061919,1091.44,1534202,111.17,273810,178769,12.95,8590,0.62,1619,Clusters of cases
Brazil,Americas,13900091,6539.39,455085,214.1,67636,371678,174.86,20344,9.57,2929,Community transmission
France,Europe,5207857,8007.24,227724,350.13,29344,100090,153.89,1958,3.01,169,Community transmission
Russian Federation,Europe,4710690,3227.95,60980,41.79,8589,105928,72.59,2665,1.83,346,Clusters of cases
The United Kingdom,Europe,4387824,6463.52,18045,26.58,1882,127270,187.48,183,0.27,10,Community transmission
Turkey,Europe,4268447,5061.06,419436,497.32,55802,35926,42.6,1987,2.36,318,Community transmission
Italy,Europe,3870131,6488.99,100317,168.2,12688,116927,196.05,2673,4.48,251,Clusters of cases
Spain,Europe,3396685,7176.2,25769,54.44,0,76882,162.43,122,0.26,0,Community transmission
Germany,Europe,3142262,3778.27,130749,157.21,0,79914,96.09,1462,1.76,0,Community transmission
Poland,Europe,2695327,7100.79,108680,286.32,7302,62133,163.69,3652,9.62,101,Community transmission
Argentina,Americas,2677747,5924.77,160447,355,19119,59164,130.91,1517,3.36,80,Community transmission
Colombia,Americas,2636076,5180.67,117361,230.65,16654,67931,133.5,2323,4.57,367,Community transmission
Mexico,Americas,2304906,1787.68,26486,20.54,4967,212228,164.6,3016,2.34,535,Community transmission
Iran (Islamic Republic of),Eastern Mediterranean,2237089,2663.42,166948,198.76,21644,66732,79.45,2242,2.67,405,Community transmission
Ukraine,Europe,1953016,4465.69,91911,210.16,6506,40000,91.46,2699,6.17,214,Community transmission
Peru,Americas,1697626,5148.71,57859,175.48,8575,56797,172.26,2128,6.45,343,Community transmission
Indonesia,South-East Asia,1604348,586.55,37353,13.66,4585,43424,15.88,894,0.33,96,Community transmission
Czechia,Europe,1602711,14987.1,21527,201.3,2364,28532,266.81,614,5.74,106,Community transmission
South Africa,Africa,1566769,2641.72,8311,14.01,1089,53736,90.6,414,0.7,25,Community transmission
Netherlands,Europe,1403833,8064.49,53431,306.94,8600,16916,97.18,147,0.84,12,Community transmission
Chile,Americas,1124718,5883.59,48219,252.24,7370,25177,131.71,831,4.35,122,Community transmission
Canada,Americas,1113907,2951.36,61368,162.6,7845,23591,62.51,304,0.81,50,Community transmission
Romania,Europe,1029304,5325.22,23137,119.7,2265,26232,135.71,1097,5.68,160,Community transmission
Iraq,Eastern Mediterranean,977175,2429.42,52229,129.85,6188,14981,37.25,268,0.67,33,Community transmission
Belgium,Europe,949996,8244.75,21739,188.67,2,23747,206.09,236,2.05,6,Community transmission
