Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,236132082,3029.4548635872934,2982878,38.268812048112736,448770,4822472,61.86987016407852,50461,0.6473890399673796,7764,
United States of America,Americas,43673628,13194.34,706690,213.5,104616,700773,211.71,12674,3.83,1868
India,South-East Asia,33894312,2456.1,154332,11.18,22431,449856,32.6,1794,0.13,318
Brazil,Americas,21499074,10114.38,117284,55.18,20528,598829,281.72,3383,1.59,677
The United Kingdom,Europe,8006664,11794.28,235366,346.71,38675,137295,202.24,770,1.13,143
Russian Federation,Europe,7690110,5269.56,179084,122.72,27550,213549,146.33,6294,4.31,924
Turkey,Europe,7327317,8687.93,202351,239.93,30438,65373,77.51,1535,1.82,236
France,Europe,6821616,10488.44,27520,42.31,4833,114660,176.29,239,0.37,30
Iran (Islamic Republic of),Eastern Mediterranean,5662458,6741.59,89496,106.55,10497,121779,144.99,1619,1.93,216
Argentina,Americas,5261935,11642.54,8170,18.08,1216,115323,255.16,285,0.63,40
Spain,Europe,4969503,10499.11,10119,21.38,965,86678,183.13,125,0.26,4
Colombia,Americas,4964454,9756.63,10078,19.81,1211,126455,248.52,236,0.46,30
Italy,Europe,4689341,7862.55,21080,35.34,3232,131157,219.91,287,0.48,39
Germany,Europe,4283378,5150.35,55877,67.19,11644,94027,113.06,389,0.47,68
Indonesia,South-East Asia,4224487,1544.47,9383,3.43,1393,142494,52.1,555,0.2,81
Mexico,Americas,3691924,2863.45,46325,35.93,7682,279896,217.09,3520,2.73,790
Poland,Europe,2916969,7684.7,9898,26.08,2007,75803,199.7,153,0.4,29
South Africa,Africa,2908768,4904.45,7774,13.11,1149,87981,148.34,456,0.77,59
Philippines,Western Pacific,2622917,2393.59,87237,79.61,9868,38828,35.43,664,0.61,0
Ukraine,Europe,2497643,5711.02,74264,169.81,15125,57840,132.25,1566,3.58,314
Malaysia,Western Pacific,2303837,7118.08,70877,218.99,9380,26981,83.36,838,2.59,105
Peru,Americas,2180149,6612.15,5930,17.99,833,199520,605.12,191,0.58,18
Iraq,Eastern Mediterranean,2016623,5013.67,15754,39.17,2519,22440,55.79,219,0.54,20
Netherlands,Europe,2013425,11566.37,12165,69.88,1929,18194,104.52,26,0.15,3
Japan,Western Pacific,1707752,1350.25,8116,6.42,1077,17819,14.09,214,0.17,30
